# f9a6ad07-ced6-406f-96d5-0c6950a314d9
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.4689138; 8.9799326; 1.5180153; 0.2645848; 4.3621165; -4.4248599
0.1497221; 4.3196218; 8.9846969; 1.5609769; 0.3171560; 4.2075007; -2.9542722
0.2994442; 4.1702982; 8.9822729; 1.6157776; 0.4211600; 4.1010270; -1.9130465
0.4491662; 4.0208365; 8.9704740; 1.6853379; 0.5000251; 4.0305796; -1.4004978
0.5988883; 3.8729205; 8.9476275; 1.7638883; 0.5456020; 3.9782158; -1.0984826
0.7486104; 3.7275772; 8.9128746; 1.8478862; 0.5766235; 3.9366568; -0.8310569
0.8983325; 3.5854475; 8.8656178; 1.9363550; 0.6035356; 3.9049215; -0.5495598
1.0480545; 3.4481045; 8.8056865; 2.0287604; 0.6287579; 3.8837931; -0.2745869
1.1977766; 3.3170395; 8.7331190; 2.1246740; 0.6505214; 3.8731932; -0.0713235
1.3474987; 3.1936984; 8.6481901; 2.2232825; 0.6650144; 3.8704352; -0.0333959
1.4972208; 3.0794393; 8.5514801; 2.3231761; 0.6679907; 3.8691431; -0.0333959
1.6469429; 2.9754202; 8.4439182; 2.4223863; 0.6563054; 3.8678505; 0.1481219
1.7966649; 2.8824594; 8.3267558; 2.5186448; 0.6291104; 3.8735800; 0.5269635
1.9463870; 2.8009270; 8.2014543; 2.6097681; 0.5881792; 3.8938950; 1.0479567
2.0961091; 2.7307142; 8.0695176; 2.6940075; 0.5372098; 3.9339831; 1.6514969
2.2458312; 2.6712925; 7.9323329; 2.7702318; 0.4805734; 3.9963426; 2.2892535
2.3955533; 2.6218334; 7.7910742; 2.8379114; 0.4221929; 4.0812078; 2.9306900
2.5452753; 2.5813377; 7.6466908; 2.8969725; 0.3649398; 4.1873423; 3.5620904
2.6949974; 2.5487384; 7.4999588; 2.9476174; 0.3105267; 4.3128277; 4.1825593
2.8447195; 2.5231825; 7.3530207; 2.9898516; 0.2575459; 4.4556622; 4.8426719
2.9944416; 2.5032481; 7.2048064; 3.0246942; 0.2081431; 4.6155211; 5.2524769
3.1441636; 2.4879083; 7.0555734; 3.0524894; 0.1620046; 4.7828714; 5.2489682
3.2938857; 2.4761994; 6.9059251; 3.0734290; 0.1180343; 4.9444546; 5.2454619
3.4436078; 2.4671696; 6.7567650; 3.0877180; 0.0736734; 5.1008190; 5.2419579
