# cd97d670-30a7-4527-8ae1-98695f779302
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.3152586; 9.1118946; 1.5981689; 0.4578949; 4.2859813; -1.4981764
0.1493717; 4.1663779; 9.1028465; 1.6638757; 0.4227322; 4.2334460; -2.4124422
0.2987434; 4.0182108; 9.0843605; 1.7259458; 0.4195902; 4.1474527; -2.4177876
0.4481151; 3.8718121; 9.0565971; 1.7914957; 0.4623426; 4.0594415; -1.9822328
0.5974869; 3.7268536; 9.0185849; 1.8641642; 0.5069091; 3.9858357; -1.5809037
0.7468586; 3.5861212; 8.9700346; 1.9428443; 0.5484075; 3.9261434; -1.2192778
0.8962303; 3.4494799; 8.9100055; 2.0275429; 0.5856539; 3.8794782; -0.8531701
1.0456020; 3.3184360; 8.8381754; 2.1177345; 0.6204490; 3.8464882; -0.4881220
1.1949737; 3.1945732; 8.7544976; 2.2128974; 0.6515213; 3.8274859; -0.1808422
1.3443454; 3.0794440; 8.6591979; 2.3121457; 0.6749776; 3.8204218; -0.0325384
1.4937172; 2.9745038; 8.5528386; 2.4139226; 0.6855935; 3.8191494; -0.0325384
1.6430889; 2.8809951; 8.4363941; 2.5159120; 0.6786409; 3.8178766; 0.0754904
1.7924606; 2.7997106; 8.3111370; 2.6153551; 0.6522469; 3.8208290; 0.4454534
1.9418323; 2.7309843; 8.1786963; 2.7093827; 0.6077243; 3.8382041; 1.0142576
2.0912040; 2.6745290; 8.0407019; 2.7956657; 0.5495947; 3.8774751; 1.7034071
2.2405757; 2.6295513; 7.8986193; 2.8726872; 0.4836416; 3.9425493; 2.4477469
2.3899474; 2.5949114; 7.7536195; 2.9397560; 0.4151466; 4.0342215; 3.2072066
2.5393192; 2.5692925; 7.6065529; 2.9968069; 0.3479230; 4.1512739; 3.9657723
2.6886909; 2.5513320; 7.4580248; 3.0441326; 0.2841359; 4.2915992; 4.7257484
2.8380626; 2.5396903; 7.3085113; 3.0821630; 0.2246633; 4.4530450; 5.2557638
2.9874343; 2.5331158; 7.1597177; 3.1113190; 0.1686060; 4.6259847; 5.2522612
3.1368060; 2.5302916; 7.0105169; 3.1328101; 0.1203749; 4.7925790; 5.2487608
3.2861777; 2.5301620; 6.8608566; -3.1356250; 0.0766040; 4.9534681; 5.2452628
3.4355494; 2.5317528; 6.7111783; -3.1273495; 0.0346684; 5.1091911; 5.2417672
3.5849212; 2.5341020; 6.5620282; -3.1254202; -0.0086578; 5.2602070; -5.6787015
3.7342929; 2.5362644; 6.4124956; -3.1299439; -0.0527488; 5.0964009; -7.7087882
