# 62045cfe-0fe2-4178-9703-c2fbcb3cc41d
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.4964609; 8.5396578; 1.5597606; -0.8018110; 3.5315390; -0.0278222
0.1993186; 4.2990251; 8.5457281; 1.5647821; 0.5201868; 3.5299684; 3.4903236
0.3986372; 4.1003353; 8.5353351; 1.6842425; 0.6213911; 3.7218342; 1.3615588
0.5979558; 3.9022720; 8.5002629; 1.8068938; 0.5961276; 3.7940503; 1.3867401
0.7972744; 3.7127014; 8.4428291; 1.9223367; 0.5718228; 3.8662157; 1.4192621
0.9965930; 3.5299158; 8.3638123; 2.0348916; 0.5578477; 3.9387047; 1.3112807
1.1959116; 3.3568425; 8.2648521; 2.1451035; 0.5453185; 4.0045124; 1.2194344
1.3952302; 3.1955703; 8.1477024; 2.2523131; 0.5270370; 4.0647548; 1.2553149
1.5945488; 3.0475342; 8.0143423; 2.3548809; 0.4987667; 4.1258510; 1.4716958
1.7938674; 2.9134958; 7.8669938; 2.4506990; 0.4594956; 4.1963460; 1.8693123
1.9931860; 2.7934857; 7.7079939; 2.5377449; 0.4108840; 4.2842149; 2.4174856
2.1925046; 2.6868372; 7.5396074; 2.6144616; 0.3560105; 4.3952471; 3.0794232
2.3918232; 2.5923216; 7.3638862; 2.6798728; 0.2980219; 4.5327441; 3.8310761
2.5911418; 2.5083248; 7.1826298; 2.7334888; 0.2392289; 4.6981889; 4.6702658
2.7904604; 2.4332172; 6.9979923; 2.7750315; 0.1794971; 4.8923124; 5.2466061
2.9897790; 2.3648471; 6.8111019; 2.8047026; 0.1190225; 5.1015892; 5.2419403
3.1890976; 2.3008004; 6.6222431; 2.8225476; 0.0586070; 5.3024377; 5.2372788
3.3884163; 2.2389142; 6.4324495; 2.8282036; -0.0031856; 5.4957820; -7.4271813
3.5877349; 2.1769373; 6.2428108; 2.8210792; -0.0682827; 5.2194702; -6.6074072
3.7870535; 2.1123972; 6.0541956; 2.8003415; -0.1400912; 4.9607369; -5.1244936
3.9863721; 2.0425438; 5.8673349; 2.7647494; -0.2182853; 4.7503786; -3.6481634
4.1856907; 1.9646804; 5.6838642; 2.7129101; -0.3030974; 4.5947582; -2.1200489
4.3850093; 1.8759731; 5.5056307; 2.6437077; -0.3910441; 4.5018521; -0.6857459
4.5843279; 1.7736356; 5.3346975; 2.5579886; -0.4680994; 4.4713878; -0.0767042
4.7836465; 1.6562058; 5.1741913; 2.4610085; -0.4993219; 4.4679673; -0.0444936
4.9829651; 1.5236061; 5.0261961; 2.3609530; -0.5013789; 4.4659819; -0.0444936
5.1822837; 1.3765342; 4.8917251; 2.2626037; -0.4823390; 4.4639957; 0.3438519
5.3816023; 1.2169762; 4.7717686; 2.1693675; -0.4503067; 4.4793225; 0.9201379
5.5809209; 1.0488203; 4.6673567; 2.0853894; -0.3964891; 4.5200809; 1.8537004
5.7802395; 0.8715700; 4.5757656; 2.0125825; -0.3207213; 4.6010961; 3.1630762
5.9795581; 0.6877949; 4.4952990; 1.9573207; -0.2339723; 4.7361382; 4.7017278
6.1788767; 0.5024067; 4.4242759; 1.9184400; -0.1600444; 4.9300394; 5.2457794
6.3781953; 0.3132940; 4.3587029; 1.8927012; -0.0998877; 5.1377477; 5.2411144
6.5775139; 0.1235560; 4.2971587; 1.8778875; -0.0491932; 5.3372048; 5.2364536
6.7768325; -0.0674248; 4.2373039; 1.8725886; -0.0046739; 5.5293037; -7.4074822
6.9761511; -0.2576134; 4.1778843; 1.8761502; 0.0404646; 5.2555021; -7.8674431
7.1754697; -0.4477317; 4.1167877; 1.8889397; 0.0893307; 4.9481356; -6.8160908
7.3747883; -0.6373104; 4.0520655; 1.9126019; 0.1485038; 4.6655009; -5.7731057
7.5741069; -0.8231399; 3.9823648; 1.9490609; 0.2193785; 4.4119751; -4.7821500
7.7734255; -1.0060014; 3.9045056; 2.0002447; 0.2993887; 4.1903677; -3.7742156
7.9727441; -1.1853505; 3.8151137; 2.0691037; 0.3900181; 4.0068240; -2.6773916
8.1720627; -1.3562343; 3.7125438; 2.1569933; 0.4908174; 3.8713474; -1.5453097
8.3713813; -1.5158049; 3.5941172; 2.2648700; 0.5905341; 3.7909514; -0.5550767
8.5706999; -1.6603473; 3.4579245; 2.3907519; 0.6697147; 3.7616537; -0.0315381
8.7700185; -1.7856998; 3.3037368; 2.5285373; 0.7073403; 3.7599822; -0.0315381
8.9693371; -1.8884183; 3.1334280; 2.6688474; 0.6947591; 3.7583100; 0.1550920
9.1686557; -1.9668610; 2.9504830; 2.8025267; 0.6431971; 3.7665262; 0.8434956
9.3679743; -2.0213807; 2.7588974; 2.9239061; 0.5743206; 3.8109012; 1.6267624
9.5672929; -2.0536771; 2.5622527; 3.0314759; 0.5066778; 3.8950553; 2.2791147
9.7666116; -2.0659514; 2.3633262; 3.1266016; 0.4504861; 4.0099870; 2.7203142
9.9659302; -2.0602925; 2.1641043; -3.0711553; 0.4097238; 4.1429958; 2.9290403
10.1652488; -2.0383510; 1.9659558; -2.9923022; 0.3843141; 4.2815930; 2.9138444
10.3645674; -2.0012161; 1.7698672; -2.9168766; 0.3741530; 4.4151564; 2.6629225
10.5638860; -1.9494441; 1.5767835; -2.8423942; 0.3722820; 4.5337783; 2.3018346
10.7632046; -1.8834480; 1.3880749; -2.7678187; 0.3754401; 4.6338691; 1.8903706
10.9625232; -1.8041001; 1.2061343; -2.6927243; 0.3771615; 4.7144793; 1.5675076
11.1618418; -1.7110655; 1.0299307; -2.6198294; 0.3513956; 4.7802909; 1.9192185
11.3611604; -1.6066977; 0.8611234; -2.5612284; 0.2013179; 4.8596557; 5.1929416
11.5604790; -1.4950983; 0.6962940; -2.5350696; 0.0979263; 5.0681706; 5.2426985
